"lang"
{
	"Language"		"English"
	"Tokens"
	{		
		"addon_game_name"								"OVERVODKA"
		"DOTA_GameMode_15"													"OVERVODKA"
		"BanPhase"										"Ban Phase"
		"HeroPickPhase"									"Hero Pick Phase"
		"StrategyPhase"									"Strategy Time"

		"LOADING_SCREEN_Telegramm"						"Our Telegram"
		"PLAYER_HUD_High_five"							"High Five!"
		"PLAYER_HUD_Seasonal1"							"Duel!"
		"PLAYER_HUD_Seasonal2"							"Baloon!"

		"custom_end_screen_legend_rating"				"Rating"
		"custom_end_screen_rating_no_data"				"No data"

		"PLAYER_HUD_DoubleRating"						"Double the rating?"
		"PLAYER_HUD_DoubleRatingCount"					"Doubles remaining today:"
		"PLAYER_HUD_DoubleRating_Button"				"Double"
		
		"CUSTOM_CHAT_WHEEL_Text"						"Phrases"
		"CUSTOM_CHAT_WHEEL_Sounds"						"Sounds"

		"CUSTOM_CHAT_WHEEL_Prefix"						"[ALL]"
		"CUSTOM_CHAT_WHEEL_Default"						"Not chosen"
		"CUSTOM_CHAT_WHEEL_Cooldown"					"Cooldown"

		"CUSTOM_CHAT_WHEEL_Item_casino"					"Ебаный рот этого казино"
		"CUSTOM_CHAT_WHEEL_Item_sosat"					"Suck"
		"CUSTOM_CHAT_WHEEL_Item_dj_stoika"				"Диджейская стойка"
		"CUSTOM_CHAT_WHEEL_Item_hrap"					"Snore"
		"CUSTOM_CHAT_WHEEL_Item_sori"					"Че то я засолил"
		"CUSTOM_CHAT_WHEEL_Item_big_balls"				"Ты видишь какие у меня огромные яйца?"
		"CUSTOM_CHAT_WHEEL_Item_hihihaha"				"Hihihiha"
		"CUSTOM_CHAT_WHEEL_Item_na_koleni"				"На колени на колени"
		"CUSTOM_CHAT_WHEEL_Item_come_here"				"А ну ка иди сюда"
		"CUSTOM_CHAT_WHEEL_Item_o_brother"				"О братик ты че тоже здесь"
		"CUSTOM_CHAT_WHEEL_Item_get_out"				"Get Out!"
		"CUSTOM_CHAT_WHEEL_Item_want_shoot"				"Я не лазер дима, но я хочу выстрел"
		"CUSTOM_CHAT_WHEEL_Item_avokado"				"Ты где был, когда авокадо пиздили?"
		"CUSTOM_CHAT_WHEEL_Item_old_god"				"Старый бог!"
		"CUSTOM_CHAT_WHEEL_Item_pencil"					"Сейчас я вывалю свой пенис"
		"CUSTOM_CHAT_WHEEL_Item_nasral"					"Wet fart"
		"CUSTOM_CHAT_WHEEL_Item_you_eban"				"Ты ебанутая?"
		"CUSTOM_CHAT_WHEEL_Item_crazy_laugh"			"Crazy laugh"
		"CUSTOM_CHAT_WHEEL_Item_thief_life"				"Воровская жизнь нелегкая"
		"CUSTOM_CHAT_WHEEL_Item_frog_laugh"				"Frog laugh"
		"CUSTOM_CHAT_WHEEL_Item_bad_to_the_bone"		"Bad to the bone"
		"CUSTOM_CHAT_WHEEL_Item_sil_nety"				"Я щас нахуй пиво пойду открывать"
		"CUSTOM_CHAT_WHEEL_Item_ohuel"					"Я так подумал, ты ахуел в край"
		"CUSTOM_CHAT_WHEEL_Item_sex"					"Сейчас мы будем заниматься сексом"
		"CUSTOM_CHAT_WHEEL_Item_pencil_fleita"			"Член флейта"
		"CUSTOM_CHAT_WHEEL_Item_ooo_nice"				"Ооо, нравится!"
		"CUSTOM_CHAT_WHEEL_Item_zavarushka"				"Че за заварушка?"
		"CUSTOM_CHAT_WHEEL_Item_edim_govno"				"Едим говно с братаном"
		"CUSTOM_CHAT_WHEEL_Item_circus"					"Circus music"
		"CUSTOM_CHAT_WHEEL_Item_ya_shas"				"Я щас убью всех"
		"CUSTOM_CHAT_WHEEL_Item_marmok_intro"			"Marmok"
		"CUSTOM_CHAT_WHEEL_Item_linganguli"				"Linganguli"

		"CUSTOM_CHAT_WHEEL_Item_zxc"					"ZXC"
		"CUSTOM_CHAT_WHEEL_Item_pathefic"				"Pathetic"
		"CUSTOM_CHAT_WHEEL_Item_silence"				"Shut up!"
		"CUSTOM_CHAT_WHEEL_Item_kto_ya"					"Who am I?"
		"CUSTOM_CHAT_WHEEL_Item_ne_vse_poimut"			"No one will understand..."
		"CUSTOM_CHAT_WHEEL_Item_neveroyatno_horosh"		"I'm too good"
		"CUSTOM_CHAT_WHEEL_Item_go_na_mid"				"Go 1x1 noob"

		"PLAYER_HUD_TeamLeavedHeader"					"Team"
		"PLAYER_HUD_TeamLeavedHeader2"					"Left the game!"
		"PLAYER_HUD_TeamLeavedValue"					"minutes"
		"PLAYER_HUD_TeamLeavedValue2"					"minutes"

		"PLAYER_HUD_TeamLeavedDescription1"				"Game time reduced by"
		"PLAYER_HUD_TeamLeavedDescription2"				"Gold gain in middle increased by"
		"PLAYER_HUD_TeamLeavedDescription3"				"XP gain in middle increased by"
		"PLAYER_HUD_TeamLeavedDescription4"				"Total Gold bonus:"
		"PLAYER_HUD_TeamLeavedDescription5"				"Total XP bonus:"

		"PLAYER_HUD_Subscribe_Header"					"Overvodka Prime"
		"PLAYER_HUD_Subscribe_Buy"						"Buy"
		"PLAYER_HUD_Subscribe_Subscribed_Buy"			"Extend"
		"PLAYER_HUD_Subscribed_Works"					"Valid until:"
		"PLAYER_HUD_Subscribe_Permanent"				"Permanent"
		"PLAYER_HUD_Subscribe_DescriptionHeader"		"Buying <span class='OvervodkaName'>Overvodka Prime</span> you'll get:"
		"PLAYER_HUD_Subscribe_Subscribed_DescriptionHeader"		"<span class='OvervodkaName'>Overvodka Prime</span> is active! You get:"

		"COMEBACK_SYSTEM_DESC"							"This team gets x2 circle XP, x2 gold for coins, and x2 score points for kills."
		"COMEBACK_SYSTEM_DESC2"							"This team gets x1.5 circle XP, x1.5 gold for coins, and x2 score points for kills."

		"PLAYER_HUD_Subscribe_Description"				"- New chat wheel, consisting of exclusive meme phrases that are not in the default Dota 2 wheels;<br>- The ability to double your rating bet;<br>- The ability to high-five, punch enemies in the face and use inflatable toys;<br>- The ability to warm up other players for bad play;<br>- Visual effect for heroes;<br>- A special hero frame on the team score panel."

		"PLAYER_HUD_Tip_GoodGame1"						"Fucking"
		"PLAYER_HUD_Tip_GoodGame2"						"Loser"

		"PLAYER_HUD_Error_Tip_Cooldown"					"Cooldown"

		"PLAYER_HUD_Tip_Top"							"Loser"
		"PLAYER_HUD_TIPPED"								"tips"
		"PLAYER_HUD_TIPPED_Text"						"Fucking Loser"

		"PLAYERS_TITLE_Developer"						"Developer"

		// "LEADERBOARD_Button_solo"					"Solo"
		// "LEADERBOARD_Button_duo"						"Duo"

		"rating_position"								"Position"
		"rating_player"									"Player"
		"rating_rating"									"Rating"

		"DOTA_Tooltip_modifier_get_xp" "Super Jewish Aura"
		"DOTA_Tooltip_modifier_get_xp_Description" "This creature is getting rich as fuck"

		"DOTA_Tooltip_modifier_get_xp_global" "Global Jewish Aura"
		"DOTA_Tooltip_modifier_get_xp_global_Description" "This creature is getting richer every second"

		"DOTA_Tooltip_modifier_fountain_aura_effect_lua"					"Fontain aura"
		"DOTA_Tooltip_modifier_fountain_aura_effect_lua_Description"		"Healing"

		"DOTA_Tooltip_modifier_invis_revealed"			"Invis Revealed"

		"DOTA_Tooltip_ability_item_bag_of_gold"			"HAMSTER COIN"
		"DOTA_Tooltip_ability_item_bag_of_gold_2"		"HAMSTER COIN"
		"DOTA_Tooltip_ability_item_bag_of_gold_bablokrad"		"MONEY"
		"DOTA_Tooltip_ability_item_treBANWORDre_chest"		"Chest of memes"

		"npc_dota_hero_bounty_hunter" "MELLSTROY"
		"npc_dota_hero_invoker" "DVORETSKOV"
		"npc_dota_hero_pudge" "BODYBUILDER"
		"npc_dota_hero_kunkka" "EBANKO"
		"npc_dota_hero_terrorblade" "ELDZEY"
		"npc_dota_hero_sniper" "STUPID KID"
		"npc_dota_hero_lion" "LEV"
		"npc_dota_hero_tinker" "CRAZY DAVE (PvZ)"
		"npc_dota_hero_brewmaster" "GOLMIY"
		"npc_dota_hero_meepo" "KIRIL"
		"npc_dota_hero_rubick" "WORSTSUP"
		"npc_dota_hero_axe" "MACAN"
		"npc_dota_hero_undying" "DMB"
		"npc_dota_hero_juggernaut" "LENAGOLOVACH"
		"npc_dota_hero_phoenix" "SILVERNAME"
		"npc_dota_hero_ursa" "LITVIN"
		"npc_dota_hero_zuus" "OLD GOD"
		"npc_dota_hero_tidehunter" "ASHAB TAMAEV"
		"npc_dota_hero_earthshaker" "ARSEN MARKARYAN"
		"npc_dota_hero_furion" "NIX"
		"npc_dota_hero_antimage" "SEREGA PIRAT"
		"npc_dota_hero_clinkz" "HACKER" 
		"npc_dota_hero_ogre_magi" "IVAN ZOLO"
		"npc_dota_hero_skeleton_king" "PAPICH"
